,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
AFL,13.492228723305688,0.5801099614122799,23.25805385320191,CLX,-0.07182463102659208,AFLAC Inc,Financials,Life & Health Insurance,AFL,EA,CAG,LLY,SJM,DG,NVDA,ABMD,BIO,CCI,-0.008902380926642993,0.25191840474668004,0.0735533583337802,0.18045992398740343,0.14041164918020976,0.04635798250505191,0.2182908964288527,0.21560634231715564,0.023932703064687654,0.07073542566351633,0.0194855499208583,0.011166168598484105,0.04887555027619757,0.3520910166067713,0.2605624475453911,0.05197704515183534,0.0009968199291383985,0.3344368294402504,0.01587008203987226,0.06166936024368951,0.14926660504137482,0.01901486097554463,0.05059410267230284,0.0556118469606007
A,16.34459600344218,0.3672453396229224,44.50593170283487,VNT,0.07913711114409872,Agilent Technologies Inc,Health Care,Health Care Equipment,A,EOG,OKE,WDC,XRX,TAP,SLG,AEP,LMT,COP,0.04380612054750779,0.3642861131924354,0.21467548752567933,0.0071117307286453135,0.0046260184384380575,0.03441293304541709,0.042995003382837474,0.18020272240436105,0.03170663661647843,0.21821798549863783,0.20467360352610672,0.06137787883339863,0.14682079008290255,0.48495531360661065,0.20275840874694928,0.2295413598312602,0.00979958564821698,0.044472531985655483,0.006066153498140521,0.23536653820699152,0.006912774965061925,0.019479647551604865,0.06252043144061348,0.18308256812550572
APD,11.92262528464333,0.444086769631545,26.847512918557403,VNT,0.04349453482704,Air Products & Chemicals Inc,Materials,Industrial Gases,APD,HST,SLB,BA,UAL,ALL,NCLH,FLIR,DAL,TSN,0.07928681262118914,0.4277985021155319,0.2050422760882542,0.1553550994590517,0.02394514414506941,0.01043416446384581,0.01427827391754619,0.2603563165938829,0.011077879578639642,0.25829187746354004,0.0380827990168125,0.023136169273357432,0.1263056383558508,0.5444723440214035,0.17790515227087497,0.12523148859474334,0.2639174859267105,0.006530645201326393,0.019024574633779504,0.028747353301444314,0.0865525900644043,0.25344351596600373,0.029048198495249377,0.009598995545463554
AKAM,-5.09572205255493,0.3813245747896742,-13.3632144095763,MAR,-0.02240412490242593,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,AKAM,GD,MPC,RF,TDY,XRAY,IPG,CB,AXP,TFC,0.028626104767515394,0.3754031519158556,0.23605589417150097,0.14968583746556294,0.0020173203726216765,0.003345940638582001,0.24737479785020752,0.12155009606549409,0.016313427160795552,0.08825473285181602,0.05075422762425459,0.08464772579916456,0.10206492285380264,0.5313215760031054,0.0465455431996011,0.01590465443015385,0.017032688690012846,0.24092418397789453,0.00859237697804422,0.19736769230149667,0.20506600344242712,0.041023374695199795,0.008953314149284778,0.21859016813588505
ALK,16.442298889160156,0.8095116549681871,20.31138006259628,REGN,-0.08770711315615651,Alaska Air Group Inc,Industrials,Airlines,ALK,ILMN,BIO,CCI,EA,TSCO,WST,NVDA,WMT,DG,0.03715721915879668,0.27476648812387783,0.036506908230360645,0.02924003907147722,0.04206810971771838,0.02704928021976595,0.06989524018847727,0.15792148841969333,0.216014920724192,0.0022921268740940994,0.20313622717004692,0.21587565938417413,0.05489463532153304,0.31165240094861063,0.16512940854211738,0.12096345970446361,0.028974244166402187,0.011472990279165315,0.010516607052335463,0.24799443239185248,0.22844583508828817,0.0008564757630326462,0.134226599879352,0.05141994713299082
ALB,59.0597712774612,0.6278463588861246,94.06723546544154,VNT,0.060155903276775356,Albemarle Corp,Materials,Specialty Chemicals,ALB,BSX,D,DLR,XOM,BXP,BDX,OXY,KMI,K,0.006126592991700807,0.3131558166565854,0.03395002394271723,0.08648419517162056,0.10966924439865842,0.06417452002076693,0.011995791917913393,0.12089430324620588,0.22057545223091188,0.0052871402922274975,0.06542583207641516,0.28154349670256307,0.2013708837203031,0.5619098551912218,0.22629126240381184,0.1061703338307506,0.010572798602168356,0.020097879269853455,0.19890637415300744,0.0147987452540973,0.0063703174412688725,0.24244690188157023,0.08472816740663455,0.08961721975683738
ARE,-14.799128856885362,0.4275848737061435,-34.61097379009722,VNT,0.020867696913582708,Alexandria Real Estate Equities,Real Estate,Office REITs,ARE,HII,COG,EQR,WBA,CTXS,ED,CBOE,BAX,NI,0.0003114810464250801,0.3031539824420028,0.06089441003019194,0.12051158683943315,0.00965155217981133,0.013191105081323744,0.006381132792505274,0.280547011204719,0.1316553166830152,0.13740788242642857,0.21264127661875415,0.027118726143817728,0.11066317583847085,0.3437936251293883,0.012916763979902749,0.014407968923735526,0.2403810833965351,0.14462172238373158,0.26722801096377435,0.15621196169994075,0.014636107790652572,0.03930343317577942,0.07413310423865621,0.03615984344729179
ALXN,0.656023407747286,0.4651826781523678,1.410249002290686,CARR,0.06490438034965573,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,ALXN,REG,CCL,CPB,AAL,XOM,FTI,K,NOV,CTXS,-0.004780276909503431,0.28619427033794564,0.21575990777832882,0.056199163141238524,0.030192026654946066,0.1879283173401324,0.05392796273438966,0.03801186445571784,0.007534147079984593,0.2588527363307653,0.0010034004819884112,0.15059047400250844,0.16416752919360478,0.5288207227345204,0.011463394540512076,0.001114872129311424,0.009146961034627631,0.0936533973708429,0.09581781409589844,0.27637407198555425,0.3265675700043795,0.05292745601708896,0.01793038343165256,0.11500407939013213
ALGN,9.478278369560222,0.6878932809577316,13.778704679836268,KR,-0.005861506080637167,Align Technology,Health Care,Health Care Supplies,ALGN,BDX,LHX,FTI,INCY,FRT,CCL,BSX,AAL,PSX,0.04152857180793676,0.36746456212333517,0.02703830024285801,0.10161154235581812,0.23507826347723823,0.022413331428722927,0.37384605723613035,0.05068551591083124,0.018882990487809836,0.03372185475755756,0.12797368702215567,0.00874845708087817,0.11606797535601873,0.49996700733421506,0.09246771960727686,0.26711095154576575,0.1177427271156117,0.30177251989430687,0.04692948558599082,0.00691528472722948,0.023798981273169435,0.00874571271686832,0.0656148737884186,0.06890174374536207
ALLE,-0.2148102691206799,0.4607381411661067,-0.46623070661570404,VNT,0.07084344008308216,Allegion,Industrials,Building Products,ALLE,CHD,BIIB,ABMD,ILMN,CHRW,AMT,ODFL,WMT,LLY,0.012124692816518925,0.25931042639963936,0.01959907660969892,0.2217433365931774,0.03175192663435831,0.19021220294815452,0.03853726589080563,0.14305612624027642,0.012334373944802988,0.08384158927292384,0.22835666719722036,0.030567434668581688,0.06964531374565804,0.32141624924414003,0.013221621160228424,0.004392402556942297,0.22235996609957326,0.08560363416536859,0.039229419142482146,0.14446730627885146,0.010077337579418711,0.20929410872125018,0.0906090096073487,0.18074519468853636
LNT,-16.68930093246515,0.38779246723240796,-43.0366815827371,VNT,0.07484311325460052,Alliant Energy Corp,Utilities,Electric Utilities,LNT,BIIB,MKTX,NLOK,INTC,ATVI,GIS,ILMN,FFIV,FTNT,-0.0065449781439068985,0.2673558449932465,0.19412202877865084,0.03651092031804587,0.004615240889118604,0.13647284288582737,0.0006508538099973929,0.11807563043643728,0.19629316867532587,0.06486464561684555,0.170104394161677,0.07829027442807421,0.08686009343964206,0.34739773826439707,0.02618685640848149,0.21903657770424653,0.04950750308010476,0.010909763526509044,0.23730776756319213,0.078898581538595,0.09635142973192785,0.0299791899635137,0.2406599806699755,0.0111623498134539
ALL,-1.9785380336732605,0.4343138581619776,-4.5555489342349365,KR,0.1420318801167241,Allstate Corp,Financials,Property & Casualty Insurance,ALL,CTLT,AAPL,CPB,AMT,CDNS,DHR,CMG,AMD,FAST,-0.0023754788275708472,0.2986418838505079,0.20062153970249094,0.048043828839489225,0.07226933217325654,0.33092913111936584,0.03752579513733378,0.011198898974212565,0.1416779190271203,0.03751078479456487,0.032565969058733144,0.08765680117343286,0.0421577484215433,0.3719282727750674,0.20696831922869272,0.32941086614609844,0.0562451147541824,0.036401480170562064,0.012579917912502936,0.011351538694353423,0.09935992267253253,0.13857066779853458,0.002281289767179382,0.10683088285536176
GOOGL,-3.0981791071741926,0.3870448942629086,-8.00470217563363,VNT,0.08626417917436936,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,GOOGL,KMI,CME,VNO,IFF,OXY,JKHY,XOM,BXP,UDR,0.04938286851305337,0.35477200438231626,0.21539545492438528,0.04379936780659531,0.08562907410495965,0.005464088136369131,0.18060968531365182,0.0030059128337821817,0.22396310054210916,0.14078746551408378,0.07947098739261284,0.021874863431450755,0.19089430305957006,0.596343576010743,0.022469191385390424,0.13775732628876888,0.005944868474753156,0.03169320119690693,0.2528812171212151,0.2853511909538799,0.006163873722774193,0.13573623984904482,0.07873872782251941,0.043264163184747115
GOOG,-1.669627933886031,0.3851624552562068,-4.334866784394674,VNT,0.09528490585083887,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,GOOG,CME,KMI,JKHY,OXY,VNO,XOM,IFF,BXP,UDR,0.04972772675790613,0.3517101342851858,0.24028506172147507,0.0364902404991808,0.05390199319518689,0.26244722614411786,0.019654746985269332,0.015369589927627955,0.11391395595408074,0.19525632596743053,0.005243667728387587,0.057437191877243186,0.17838499077623943,0.5363307502971539,0.077629365823549,0.08893794319587493,0.24737277232851057,0.034601907047894544,0.16235002928211928,0.01194844972530702,0.3300670121131973,0.0036926099899953738,0.002602550579682043,0.0407973599138699
MO,0.6707354289729461,0.3641728496159329,1.8418051474192074,DPZ,0.11139838109575977,Altria Group Inc,Consumer Staples,Tobacco,MO,DLR,NEM,VRTX,FE,DXCM,SBAC,CLX,INCY,JKHY,-0.0053639116226336814,0.2569882029893458,0.21185345155931745,0.038550680487590604,0.16704898396968013,0.004768737589135527,0.016048552693340348,0.0438475477592633,0.021563432086378898,0.2630189384592128,0.08676757462302585,0.14653210077305495,0.01943423569415649,0.29703939938580565,0.12064313339818024,0.017509068789561745,0.2425935674219004,0.037259481742453186,0.1924385640652241,0.022021137977113827,0.04557318056603114,0.03254131254781352,0.21214705538874948,0.07727349810297239
AMZN,-9.937269426631978,0.3852810134843152,-25.79226351374962,CARR,-0.10914852520843005,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,AMZN,UA,IBM,KEY,CI,MAR,HES,MAA,PXD,BAC,0.033430823916962955,0.37910209488055213,0.24522629235645035,0.009800433457204528,0.2108287762538157,0.02190580874375867,0.24179962571251806,0.02516697366986592,0.016566909762601365,0.122296176438487,0.006202075069680885,0.10020692853561748,0.1371039460051915,0.6241479588556849,0.005085437228713895,0.0587145546947347,0.03244814616442485,0.12879830627834857,0.06180492825151853,0.030457661384907395,0.2257091507119937,0.033681408532214505,0.24869711220371948,0.17460329454942436
AMCR,-8.071370001312584,0.47938925848675684,-16.836776916509812,VNT,0.08733707871267797,Amcor plc,Materials,Paper Packaging,AMCR,UDR,CME,KMI,VRTX,COG,ESS,VNO,OXY,AVB,0.027773854744855685,0.3638318688669394,0.1898146494494025,0.17678186118880637,0.009227597512255267,0.031088860306936823,0.23807076480498926,0.1825999110712254,0.04799669866169239,0.004073791422153781,0.0052183976072781935,0.11512746797526008,0.15679275606676424,0.49671896264123866,0.12085153294930613,0.08170654888891436,0.015431034669561082,0.15066771545863983,0.04847526510579418,0.29049975016740476,0.014796930795829517,0.00012599121851433726,0.21162703653105944,0.06581819421497627
AEE,-13.03484442133493,0.4344185015100916,-30.005269978198957,CARR,0.059275062205305075,Ameren Corp,Utilities,Multi-Utilities,AEE,DXCM,ILMN,KR,FTNT,BAX,CLX,PSX,CSCO,BIIB,0.002004724008663034,0.2599601825123427,0.09219046946270092,0.0010945711886497665,0.1925195526455281,0.2329844540310662,0.011787774972906133,0.04759435108869883,0.2812780219526599,0.01715756353418176,0.10676128744323464,0.01663195368037376,0.06336001255086114,0.36970559872276565,0.040332323999925035,0.005767751211923355,0.12693426385392753,0.14712338842812014,0.04154751728328971,0.04198527117915946,0.00783654568978064,0.07977094616798995,0.1472239377906653,0.36147805439521874
AAL,10.621434001989783,1.0113991527418278,10.501723254558664,NFLX,-0.11542520605187623,American Airlines Group,Industrials,Airlines,AAL,GWW,CL,CNC,DE,FFIV,ALXN,DGX,ISRG,KMB,0.008863930694608991,0.2820572298166771,0.01811839740334204,0.058141835303407496,0.1765121955292558,0.002282719208542943,0.00885629163843063,0.1808058172610156,0.12840319209378048,0.13468692098242327,0.06188405218687049,0.23030857839293117,0.06549119501302796,0.3284328928475694,0.02228760809386266,0.043520973248604204,0.06898371085664502,0.01806410959246519,0.2648580689388825,0.3397078523340063,0.11140229903607017,0.06079273318315967,0.010317610295862478,0.060065034420441706
AEP,-13.33011586106933,0.3866303360457633,-34.477677042629985,CARR,0.04298885058545567,American Electric Power,Utilities,Electric Utilities,AEP,MNST,PKI,XLNX,ORCL,KEYS,FB,SPGI,DHR,CPB,-0.012837001381695341,0.2780094169915535,0.13748240740738865,0.0025730300379301976,0.1448282500779034,0.020515593605032755,0.0777805475624471,0.03394681713205059,0.07092524402323952,0.05350251072239924,0.18862749331576098,0.2698181061158477,0.04057305481925248,0.3128066879828811,0.04478084167050094,0.02889221389198088,0.17394875752156272,0.023963406632607098,0.017300681723101074,0.24627902507737942,0.0753878114616703,0.0006581883940728585,0.32540881423121615,0.06338025939590858
AXP,6.831579973835766,0.630351208805809,10.837735977024765,KR,-0.014077633024118607,American Express Co,Financials,Consumer Finance,AXP,AKAM,MKTX,NFLX,LLY,SJM,AMGN,AMT,EQIX,EBAY,-0.00024247497983727329,0.27670959404367346,0.0032968157996483604,0.24836728281804563,0.03965898472453287,0.13594092832720897,0.10425127454673648,0.23919972371617618,0.04937532401363392,0.005201567218803275,0.04207657264845455,0.1326315261867598,0.04468944157144391,0.2974884611463219,0.07475164555380831,0.07608181381037223,0.07735528828456589,0.021994770085764743,0.28501078431123666,0.11317934993752475,0.02774066599326803,0.013940913378342818,0.03866572239878406,0.2712790462463324
AIG,22.715257337901583,0.7241679062665463,31.367390271422387,CLX,-0.0028299109222711606,American International Group,Financials,Property & Casualty Insurance,AIG,WMT,EA,NVDA,TSCO,BIO,CCI,WST,CAG,CHD,0.0037636294223073576,0.2597433282625944,0.03548654698738625,0.2872422648075369,0.01775825181385543,0.0020351619489398115,0.048199979027127755,0.11373461134482411,0.00975274466274633,0.12357183389233455,0.23884524552557834,0.12337335998967054,0.04714533836931108,0.29259519199939493,0.08709756202504484,0.20821395415049604,0.015922256914946288,0.022607193399370375,0.2494643672084911,0.1367386937696778,0.030377975525948765,0.181345795498934,0.06733044734742703,0.0009017541596639221
AMT,-10.54753735347505,0.4403253768663182,-23.953962019039523,VNT,0.06798793126663283,American Tower Corp.,Real Estate,Specialized REITs,AMT,SEE,INTU,MRO,DOV,HAL,CVS,DD,RCL,DOW,0.017635096113896048,0.3924187393562346,0.2283931506180044,0.17223659638214014,0.226638258869161,0.049122332186550245,0.060712726902028544,0.009032359075988166,0.16290955906932467,0.045484810205067866,0.03708432875996492,0.008385877931770078,0.14931975707491266,0.5714534693358624,0.04039916755263342,0.02007740916099773,0.017865234049812818,0.2591458608224474,0.0037413777050277408,0.04526184313482892,0.1926679394305434,0.2497015335390262,0.07528385157326026,0.0958557830314221
AWK,7.379290322644783,0.42828848522703505,17.22971916635357,VNT,0.007237223422695804,American Water Works Company Inc,Utilities,Water Utilities,AWK,LHX,CCL,FLIR,FANG,VTRS,MRO,FRT,INCY,WDC,0.0209185555466056,0.3445512796235277,0.19816291976665915,0.2207318740755924,0.05142460076072564,0.02315967071807096,0.0041032577086395575,0.18430731487908897,0.028109159559522017,0.02215845921826024,0.2533003160755376,0.014542427237903461,0.151399843580487,0.5035719233102902,0.10170506836642111,0.14856974366262635,0.0023966539291511613,0.24546526115532696,0.05202213715513024,0.00693837759422529,0.2338628599387027,0.1672561751344352,0.04053856158591937,0.0012451614780615513
AMP,16.235263467139493,0.6940282789150568,23.392798190470494,KR,0.1420849740931741,Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP,PRGO,INCY,HII,WBA,CPB,ED,NOC,KR,JKHY,0.016450272348086676,0.2555999549890667,0.008191073724638372,0.037490918056457094,0.19381031367613896,0.022063111130389768,0.053734641321061656,0.21802760429959825,0.08037560881747209,0.10990009739458285,0.21402459423736386,0.06238203734229713,0.08729000454582866,0.32218606772764397,0.06676605255598013,0.08295044977886246,0.12011987370753238,0.11825510671707527,0.2986847820638759,0.022744741793432492,0.008298712081930578,0.1129046331931563,0.15892401164192396,0.010351636466230664
ABC,20.151383697897817,0.4213500479441892,47.82575389802023,VNT,0.13312103396911537,AmerisourceBergen Corp,Health Care,Health Care Distributors,ABC,VTRS,CXO,MRO,HPE,EOG,DAL,PSX,PBCT,TSN,0.05616422041173469,0.4161029555223401,0.27980010331269106,0.24655520591756036,0.035743494908653715,0.09149622809209305,0.08675528678989539,0.001578318648594422,0.0369359120031537,0.01985668884920262,0.07284622415082892,0.12843253732732673,0.1826293585487238,0.6115959793348359,0.12276729238381356,0.01607073529221804,0.18655545621310937,0.19971120361988995,0.023176652771071126,0.19470033800810224,0.02702725100010206,0.04670711827251449,0.16573021435940724,0.017553738079771952
AME,-0.4547734749916488,0.4689667387922714,-0.9697350310233632,CLX,0.16065777685131327,AMETEK Inc.,Industrials,Electrical Components & Equipment,AME,T,INCY,REGN,HFC,AMT,CPB,IFF,WFC,KMI,0.03778090411665397,0.2829614663929968,0.007310782285148663,0.23670380204731964,0.1494797729341053,0.2200082848270058,0.035706193998714435,0.05335543359678354,0.20566205387155553,0.051019777934095595,0.021817053976648376,0.01893684452862321,0.09773517304830155,0.354462409662316,0.006073241079628609,0.01953749302933971,0.09373830967230551,0.1830596041989145,0.009128563127976075,0.03703982270116412,0.03264879831446778,0.24565722759835013,0.187827380186653,0.18528956009120068
AMGN,12.765315747499173,0.38140570670493845,33.46912624297629,CARR,-0.00669007252185887,Amgen Inc.,Health Care,Biotechnology,AMGN,CMA,SCHW,KO,SRE,FOX,PPL,MAA,ADP,O,-0.013966585364756723,0.35071392247250904,0.19606643678776864,0.009012016181496161,0.05441370172727677,0.26350827771446755,0.1131987108703736,0.1984389648730183,0.0020960443474354593,0.018586489948193313,0.10465971169962626,0.04001964585034386,0.07578243469009885,0.45580947566280855,0.09419615093690056,0.22854923281439607,0.1891053647294304,0.009603745919125235,0.012545051438460507,0.13523591066298415,0.0790400629750017,0.20540595321275745,0.006468923332091611,0.0398496039788523
APH,5.86906776234658,0.41380380972273484,14.183213456345632,KR,0.10583887196251905,Amphenol Corp,Information Technology,Electronic Components,APH,BXP,VNO,KMI,WFC,XOM,OXY,INCY,REGN,AMT,0.06397475251196356,0.33725837377140017,0.05349315818893927,0.046507853341542255,0.02941439969426034,0.0051234373478767975,0.03336298262919117,0.15424607510435326,0.008721540971843567,0.2173993969842595,0.22208078959454208,0.22965036614319184,0.1862139993603526,0.5243917163742586,0.016167460824774053,0.03849994129226439,0.008298345748930607,0.17423911892148944,0.04812658504435851,0.2641147966249375,0.20770678853619967,0.010710986108175299,0.1844841684141805,0.047651808484689896
ADI,19.85042192778841,0.5036386008283654,39.414020083328005,VNT,0.012992979758106841,"Analog Devices, Inc.",Information Technology,Semiconductors,ADI,BXP,WFC,HFC,VNO,AMT,COG,JKHY,IFF,KMI,0.06223701285125903,0.352525379624711,0.0005180685893437124,0.003963700935888188,0.00558784147877137,0.011249508538444718,0.02940131543278304,0.18604304615852957,0.1859952017036097,0.21839855779709083,0.19273676049991845,0.16610599886562039,0.11843251738549068,0.3937879085358725,0.06849518538955135,0.001478156407849333,0.027488155292028284,0.0870346547520932,0.005942447608475866,0.03513084772420246,0.2704511492973809,0.08331255732388212,0.18567100144668958,0.23499584475784685
ANSS,3.6077516328750225,0.46186874741074607,7.8112053545519515,VNT,0.07188587759827847,"ANSYS, Inc.",Information Technology,Application Software,ANSS,XRX,OKE,SLG,VRTX,EOG,AAL,WDC,PSX,CCL,0.010746742608470135,0.42881572254237593,0.4128274940124948,0.0665204871541915,0.014648676636196819,0.01864145327662184,0.237068605314707,0.04686451634551571,0.06831100768612615,0.052008012141180227,0.05216613564792038,0.030943611785045573,0.10810518424370213,0.5728071144146966,0.15489440734301485,0.05764737191065799,0.18052842268702654,0.01565663295377492,0.15072411773571476,0.32955530738966143,0.03640663535994098,0.044797032276975866,0.013944027768555321,0.015846044574677278
