,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
A,0.37726777894016594,0.3534937277904254,1.067254520464463,VNT,0.0798807273841275,Agilent Technologies Inc,Health Care,Health Care Equipment,A,REGN,NLOK,DXCM,CLX,LLY,NEM,EBAY,EA,MU,0.3196438589309695,0.2386868484156523,0.01,0.03,0.2,0.03,0.22,0.09,0.07,0.11,0.17,0.05,0.3778961559036672,0.25522226878898063,0.05,0.01,0.16,0.06,0.12,0.23,0.21,0.14,0.02,0.01
APD,0.2093194146395465,0.42812585273749415,0.48892028664265447,VNT,0.04025674233132416,Air Products & Chemicals Inc,Materials,Industrial Gases,APD,MU,LLY,FFIV,KEYS,VNT,ANET,REGN,ALXN,AMAT,0.4472479550942144,0.24721248975868804,0.04,0.01,0.13,0.31,0.06,0.24,0.0,0.13,0.01,0.06,0.5302010107491848,0.2681360325994094,0.05,0.04,0.26,0.0,0.02,0.33,0.08,0.1,0.01,0.11
AKAM,0.20069504279149247,0.37112030502538834,0.5407816281509117,MAR,-0.019312667839939162,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,AKAM,VNT,MU,KEYS,SIVB,CTVA,FFIV,AMAT,MS,ALB,0.40199961670183193,0.275204029751179,0.31,0.16,0.01,0.04,0.03,0.0,0.31,0.03,0.05,0.05,0.5806393987539242,0.29353876725515954,0.07,0.33,0.14,0.05,0.03,0.07,0.1,0.08,0.0,0.12
ALK,-0.22524718821432596,0.777399014301382,-0.2897446280102976,REGN,-0.08755755114145324,Alaska Air Group Inc,Industrials,Airlines,ALK,DHR,CMG,TMO,CHRW,FAST,AAPL,TSLA,SNPS,ABT,0.3397492090194399,0.2865937371324971,0.05,0.02,0.17,0.21,0.27,0.05,0.09,0.01,0.0,0.11,1.0670351636276172,0.4619605102968362,0.03,0.12,0.03,0.0,0.04,0.02,0.02,0.39,0.15,0.18
ALB,0.9320641174183905,0.6074877502611973,1.534292859432371,VNT,0.07381928258414319,Albemarle Corp,Materials,Specialty Chemicals,ALB,REGN,DXCM,CLX,NLOK,NEM,LLY,EBAY,CHD,EA,0.32854090550774157,0.23821634362859478,0.02,0.07,0.1,0.23,0.19,0.01,0.08,0.14,0.12,0.01,0.5173184436781493,0.2957528076196606,0.27,0.03,0.01,0.07,0.18,0.09,0.19,0.14,0.02,0.0
ARE,0.09797742683413088,0.4130033107017188,0.23723157731510922,VNT,0.01556861115807604,Alexandria Real Estate Equities,Real Estate,Office REITs,ARE,REGN,CLX,NLOK,NEM,DXCM,LLY,ENPH,MKTX,KEYS,0.32812142928281535,0.2537283590357793,0.05,0.1,0.17,0.14,0.18,0.05,0.18,0.0,0.03,0.09,1.0303560200095032,0.5236146393713305,0.02,0.07,0.18,0.05,0.03,0.02,0.12,0.47,0.02,0.02
ALXN,0.3127061481868388,0.4498825715955839,0.6950839350761556,CARR,0.06506729299042709,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,ALXN,REGN,NLOK,CLX,DXCM,NEM,CHD,EBAY,AMZN,NFLX,0.3268458016126411,0.23418296165318753,0.05,0.03,0.21,0.23,0.02,0.14,0.07,0.17,0.0,0.06,0.4013810838248446,0.2579387886656706,0.09,0.0,0.04,0.12,0.01,0.14,0.0,0.26,0.24,0.08
ALGN,0.6797672154447526,0.6656828046561756,1.0211578407765116,KR,-0.005870982306935278,Align Technology,Health Care,Health Care Supplies,ALGN,REGN,NLOK,DXCM,CLX,NEM,LLY,EBAY,EA,CHD,0.3057329810429533,0.23882659564862266,0.0,0.11,0.21,0.04,0.21,0.09,0.05,0.09,0.04,0.15,0.42435151556780404,0.2791078006557112,0.12,0.05,0.11,0.04,0.02,0.16,0.24,0.23,0.02,0.02
ALLE,-0.0451387196719694,0.4435774712310499,-0.10176062266349324,VNT,0.08734971224823553,Allegion,Industrials,Building Products,ALLE,TMO,FAST,SNPS,DHR,CMG,AAPL,PGR,UPS,ABT,0.34718141929451757,0.2888822872916914,0.07,0.18,0.03,0.03,0.09,0.15,0.01,0.24,0.15,0.03,0.46350681242281,0.32681620957124874,0.0,0.08,0.01,0.21,0.21,0.13,0.2,0.04,0.04,0.07
LNT,-0.04581433894626747,0.37460022447386243,-0.1223019527300474,VNT,0.029574789467174456,Alliant Energy Corp,Utilities,Electric Utilities,LNT,ATVI,NFLX,FFIV,NLOK,EA,MSCI,MKTX,EBAY,ETSY,0.29964115901307775,0.25758902854136295,0.09,0.15,0.01,0.16,0.18,0.18,0.03,0.01,0.17,0.0,0.7314646512265484,0.38705708615089307,0.04,0.12,0.11,0.21,0.03,0.05,0.06,0.0,0.02,0.36
ALL,0.009436635337071848,0.41748878269736306,0.022603326671683178,KR,0.139550024308724,Allstate Corp,Financials,Property & Casualty Insurance,ALL,FDX,TSLA,IDXX,LLY,LOW,COST,MTD,NDAQ,CHTR,0.31202562618257956,0.27840697976918205,0.07,0.08,0.01,0.03,0.12,0.01,0.28,0.13,0.02,0.24,1.133520227364902,0.4583726414478633,0.03,0.01,0.42,0.1,0.16,0.03,0.03,0.11,0.03,0.06
GOOGL,0.2186314090062651,0.37342325193899345,0.5854788309807316,VNT,0.08960905495543608,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,GOOGL,REGN,NLOK,DXCM,CLX,LLY,NEM,VNT,EBAY,EA,0.44332479312792583,0.19727579038999116,0.08,0.03,0.2,0.02,0.25,0.03,0.02,0.28,0.07,0.02,0.508502365857633,0.2076285583228021,0.03,0.06,0.12,0.05,0.06,0.04,0.06,0.32,0.26,0.0
GOOG,0.22284649010598592,0.3715627780430637,0.5997546128804061,VNT,0.09905826998704946,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,GOOG,REGN,NLOK,DXCM,CLX,LLY,NEM,VNT,EBAY,EA,0.4520086670056429,0.19779369173338107,0.11,0.0,0.05,0.01,0.27,0.08,0.12,0.29,0.04,0.02,0.5129150879558784,0.21074611921833983,0.03,0.0,0.22,0.0,0.01,0.18,0.02,0.36,0.1,0.08
MO,-0.09171088140969774,0.3508307221484879,-0.2614106337325881,DPZ,0.10452544857647902,Altria Group Inc,Consumer Staples,Tobacco,MO,ATVI,ROL,TMUS,NVDA,WST,MSCI,BIO,NOW,LLY,0.3584173514431268,0.2799502137837813,0.25,0.16,0.08,0.15,0.02,0.21,0.03,0.07,0.0,0.02,0.5711754566673415,0.3359386496763703,0.02,0.05,0.03,0.16,0.17,0.37,0.0,0.01,0.05,0.14
AMZN,0.5148709186131907,0.37393793017448784,1.376888721539803,CARR,-0.10095722093569051,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,AMZN,VNT,MU,FFIV,KEYS,ANET,MS,SIVB,AMAT,CTVA,0.5154738200599318,0.26853858323186064,0.15,0.28,0.03,0.1,0.17,0.07,0.04,0.04,0.03,0.08,0.5913100518464492,0.2807074064004785,0.1,0.39,0.05,0.07,0.04,0.09,0.02,0.12,0.09,0.03
AMCR,0.06428763113139833,0.4625602651585927,0.13898217372682622,VNT,0.1191371766617618,Amcor plc,Materials,Paper Packaging,AMCR,REGN,NLOK,LLY,CLX,VNT,DXCM,NEM,NFLX,MU,0.47694774409087226,0.20261825349350437,0.01,0.07,0.07,0.09,0.25,0.3,0.04,0.1,0.06,0.01,0.47694774409087226,0.20261825349350437,0.01,0.07,0.07,0.09,0.25,0.3,0.04,0.1,0.06,0.01
AEE,0.006559249471081796,0.41762717910305935,0.015705992807195018,CARR,0.05878797809341629,Ameren Corp,Utilities,Multi-Utilities,AEE,REGN,DXCM,CLX,LLY,FFIV,NEM,MKTX,KEYS,ALXN,0.2898843606387719,0.24817874360741857,0.04,0.12,0.02,0.26,0.02,0.22,0.08,0.12,0.03,0.07,0.35629964900179845,0.2617058458473685,0.02,0.05,0.12,0.16,0.21,0.11,0.22,0.03,0.03,0.05
AAL,-0.5203108914799744,0.9741777044563248,-0.5341026479048325,CHD,-0.11521451760123141,American Airlines Group,Industrials,Airlines,AAL,FCX,FFIV,LB,ALB,TT,ANET,TXN,QRVO,AVGO,0.3791158946216384,0.35669263401240686,0.02,0.01,0.22,0.03,0.07,0.15,0.2,0.24,0.0,0.04,0.6071891557617681,0.43628505204160134,0.01,0.02,0.08,0.12,0.32,0.1,0.19,0.05,0.02,0.09
AEP,-0.1033348668516733,0.3723844158630063,-0.2774951433243876,CARR,0.040991562030460976,American Electric Power,Utilities,Electric Utilities,AEP,ALB,FCX,INTU,KEYS,QRVO,ZBRA,LOW,ANET,MXIM,0.2204736078744653,0.3340784558696226,0.34,0.04,0.0,0.03,0.29,0.02,0.01,0.04,0.11,0.11,0.5500746648791557,0.4105050106599402,0.01,0.24,0.06,0.03,0.01,0.03,0.13,0.09,0.15,0.24
AXP,0.00801015030878022,0.6056613927147576,0.013225459646480526,KR,-0.013116281388577471,American Express Co,Financials,Consumer Finance,AXP,WST,DG,EA,TSCO,ATVI,BIO,EBAY,NVDA,CHD,0.32095581373441806,0.2576835777473162,0.09,0.07,0.17,0.15,0.09,0.06,0.04,0.15,0.0,0.17,0.493157099069891,0.29807229052052947,0.02,0.24,0.09,0.04,0.15,0.08,0.03,0.19,0.12,0.04
AIG,-0.1697008646114358,0.6950742721117575,-0.24414781473043853,CLX,-0.0015456964735923728,American International Group,Financials,Property & Casualty Insurance,AIG,CMG,TMO,AAPL,FAST,TSLA,DHR,SNPS,COST,POOL,0.36737376589662507,0.28936316506150805,0.03,0.06,0.2,0.0,0.04,0.0,0.24,0.05,0.24,0.13,0.9704934123170446,0.4230001383954811,0.01,0.2,0.23,0.02,0.0,0.3,0.1,0.06,0.03,0.06
AMT,0.0393084461052867,0.4268546311288386,0.09208860168937029,VNT,0.03337717955193748,American Tower Corp.,Real Estate,Specialized REITs,AMT,BLL,PKI,TTWO,A,KSU,AMD,IPGP,AVGO,TYL,0.3555887037624366,0.2923119018936442,0.03,0.27,0.2,0.16,0.13,0.04,0.0,0.03,0.05,0.07,0.4719910175049427,0.34602038647764916,0.0,0.05,0.14,0.18,0.09,0.01,0.23,0.21,0.02,0.07
AWK,0.2691872899657152,0.4125237091647586,0.6525377426445179,VNT,-0.008445413306578418,American Water Works Company Inc,Utilities,Water Utilities,AWK,REGN,LLY,VNT,DXCM,NLOK,CLX,FFIV,MU,NEM,0.4410587859983264,0.19676560045468774,0.01,0.04,0.04,0.27,0.03,0.24,0.17,0.18,0.01,0.0,0.5186468593406386,0.21176566122980756,0.02,0.14,0.1,0.35,0.06,0.04,0.04,0.11,0.02,0.14
AMP,0.22432050231890835,0.666335887090232,0.33664778779734544,KR,0.1393573093411361,Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP,NLOK,REGN,CLX,DXCM,NEM,LLY,NFLX,MKTX,AMZN,0.32809141348791576,0.24460431883023231,0.04,0.23,0.06,0.34,0.05,0.11,0.08,0.01,0.02,0.06,0.3827565329215543,0.25330584261240224,0.0,0.26,0.03,0.09,0.07,0.14,0.18,0.03,0.02,0.17
ABC,0.21495765149315396,0.4093081257636236,0.5251731836305945,VNT,0.12111093102561224,AmerisourceBergen Corp,Health Care,Health Care Distributors,ABC,VNT,MU,REGN,LLY,NLOK,KEYS,ALXN,FFIV,SIVB,0.4359312547868105,0.22530435822421688,0.09,0.25,0.0,0.08,0.11,0.12,0.01,0.08,0.24,0.01,0.4359312547868105,0.22530435822421688,0.09,0.25,0.0,0.08,0.11,0.12,0.01,0.08,0.24,0.01
AME,0.17313056753114972,0.4501734629671521,0.3845863467606987,CLX,0.15800357373730425,AMETEK Inc.,Industrials,Electrical Components & Equipment,AME,REGN,NLOK,CLX,DXCM,NEM,LLY,NFLX,EBAY,EA,0.33554616578974816,0.2374602112403442,0.02,0.04,0.19,0.24,0.06,0.12,0.18,0.0,0.09,0.04,0.38582856199282406,0.25854410728737826,0.02,0.07,0.14,0.07,0.05,0.14,0.19,0.15,0.17,0.01
AMGN,0.0335508932668709,0.366711598633602,0.09149122468960438,CARR,-0.008144433278681286,Amgen Inc.,Health Care,Biotechnology,AMGN,VNT,MU,ENPH,CTVA,ALB,DVA,KEYS,ANET,BLL,0.48848619466752913,0.2646911501687273,0.1,0.24,0.01,0.03,0.03,0.02,0.16,0.14,0.02,0.24,0.7644741599020172,0.33079240182829517,0.02,0.3,0.02,0.16,0.15,0.05,0.06,0.04,0.01,0.2
APH,0.19326180749915992,0.39785777223166224,0.4857560188283279,KR,0.10264810423120535,Amphenol Corp,Information Technology,Electronic Components,APH,REGN,NLOK,CLX,DXCM,LLY,NEM,NFLX,EBAY,EA,0.29652261514189615,0.23597120371326646,0.18,0.01,0.18,0.19,0.0,0.09,0.16,0.0,0.06,0.11,0.3812230620687596,0.2543007722304233,0.0,0.03,0.2,0.08,0.05,0.1,0.17,0.14,0.2,0.04
ADI,0.2779076674461845,0.4855148688294709,0.5723978507933091,VNT,0.031456129598684164,"Analog Devices, Inc.",Information Technology,Semiconductors,ADI,REGN,NLOK,CLX,DXCM,NEM,LLY,CHD,NFLX,EBAY,0.3103037216750196,0.23912068499353625,0.01,0.07,0.14,0.22,0.01,0.14,0.02,0.19,0.11,0.07,0.3846264526343113,0.25468050348409693,0.0,0.01,0.18,0.13,0.09,0.14,0.18,0.02,0.04,0.23
ANSS,0.31611336094080145,0.4443869617154935,0.71134706500049,VNT,0.08586228244990529,"ANSYS, Inc.",Information Technology,Application Software,ANSS,REGN,NLOK,LLY,CLX,DXCM,VNT,MU,NEM,FFIV,0.41321185115660336,0.20384021052333007,0.05,0.1,0.22,0.03,0.17,0.01,0.21,0.02,0.07,0.11,0.5133958046030141,0.21346844108941454,0.01,0.0,0.03,0.03,0.08,0.08,0.34,0.02,0.21,0.21
ANTM,0.11499264875657374,0.5284698895700961,0.2175954600745917,VNT,0.02864563480212436,Anthem,Health Care,Managed Health Care,ANTM,CLX,NLOK,DXCM,REGN,NEM,LLY,NFLX,EBAY,AMZN,0.33548105311500753,0.24076567258280643,0.05,0.18,0.18,0.0,0.11,0.16,0.06,0.03,0.16,0.05,0.41457199575068615,0.26089199042071987,0.01,0.01,0.08,0.09,0.02,0.16,0.19,0.04,0.2,0.18
AON,0.012464341016472376,0.38682123687408554,0.03222248374261223,CARR,0.022577953507367885,Aon plc,Financials,Insurance Brokers,AON,DXCM,NLOK,NEM,LLY,MKTX,CLX,NFLX,AMZN,DG,0.30452298073822304,0.22987276106019616,0.12,0.01,0.17,0.18,0.05,0.01,0.18,0.04,0.09,0.13,0.4023209421366271,0.25796540514136834,0.0,0.01,0.07,0.14,0.12,0.04,0.1,0.07,0.3,0.15
AOS,0.208663804355577,0.36962206212540377,0.5645328721876521,NEM,0.060531848436647995,A.O. Smith Corp,Industrials,Building Products,AOS,REGN,NLOK,LLY,DXCM,CLX,VNT,NEM,MU,ANET,0.4030580238335031,0.198199662626016,0.21,0.03,0.1,0.05,0.0,0.23,0.22,0.09,0.0,0.06,0.5139594243198217,0.22717532682150524,0.03,0.01,0.11,0.04,0.1,0.05,0.31,0.24,0.03,0.09
APA,-0.21077779629636792,1.3057002533685869,-0.16142893114448018,CPB,-0.1548097832913103,Apache Corporation,Energy,Oil & Gas Exploration & Production,APA,ALGN,NKE,BLK,NEE,TT,LB,KLAC,HOLX,MXIM,0.36111748013854095,0.34386682077520947,0.0,0.0,0.05,0.02,0.22,0.22,0.01,0.03,0.21,0.22,0.5736546952972584,0.47766126087545474,0.0,0.12,0.09,0.01,0.01,0.0,0.23,0.27,0.05,0.22
AAPL,0.5548467961789276,0.45281793023478023,1.2253198451996958,VNT,-0.07679084561391279,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL,REGN,LLY,MU,NLOK,FFIV,DXCM,CLX,ANET,KEYS,0.3113541048194881,0.24815125957836315,0.0,0.13,0.01,0.04,0.15,0.2,0.05,0.32,0.06,0.04,0.38682538435873637,0.27471450200449693,0.2,0.02,0.15,0.02,0.11,0.1,0.11,0.22,0.03,0.04
AMAT,0.5089832100422693,0.5824631605534325,0.8738461837803689,VNT,0.1482408735517366,Applied Materials Inc.,Information Technology,Semiconductor Equipment,AMAT,REGN,NLOK,CLX,DXCM,NEM,CHD,LLY,EBAY,NFLX,0.3336535640572671,0.2392421505720191,0.02,0.04,0.19,0.18,0.02,0.11,0.14,0.11,0.09,0.09,0.38707498956311004,0.2539029996869764,0.0,0.01,0.15,0.06,0.05,0.2,0.03,0.19,0.2,0.11
APTV,0.3756220234706977,0.7233715420625048,0.5192656907675822,SJM,-0.019025086763812555,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,APTV,CLX,NLOK,REGN,DXCM,NEM,LLY,NFLX,EBAY,EA,0.3409408073795458,0.23710440544303632,0.0,0.24,0.13,0.05,0.02,0.13,0.1,0.06,0.18,0.07,0.3967544472072647,0.2615211089205485,0.02,0.06,0.12,0.02,0.04,0.15,0.18,0.17,0.22,0.03
ADM,0.14667116917604306,0.38844958552625863,0.3775809645345298,NEM,0.20529229609908672,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,ADM,REGN,NLOK,DXCM,CLX,LLY,NEM,VNT,NFLX,MKTX,0.42190048618020415,0.2017891611499499,0.13,0.11,0.13,0.02,0.17,0.06,0.03,0.26,0.06,0.01,0.525754858857745,0.20812904289693426,0.01,0.07,0.15,0.09,0.1,0.01,0.04,0.42,0.0,0.1
ANET,0.42823118558772577,0.4723889311438647,0.9065224804289692,VNT,0.06566390319086114,Arista Networks,Information Technology,Communications Equipment,ANET,REGN,DXCM,CLX,NLOK,NEM,CHD,EBAY,CHRW,NFLX,0.2984812491314282,0.2264220882641489,0.02,0.05,0.06,0.13,0.2,0.1,0.11,0.1,0.2,0.01,0.3700392170189898,0.2533813701355621,0.1,0.0,0.09,0.18,0.09,0.05,0.0,0.25,0.1,0.14
AJG,0.19906084406967073,0.3945100323090231,0.5045773941529189,KR,0.08484000525183708,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,AJG,REGN,NLOK,CLX,DXCM,NEM,LLY,MKTX,NFLX,EBAY,0.3355925278509979,0.23794821596110383,0.04,0.06,0.17,0.21,0.0,0.18,0.08,0.04,0.05,0.15,0.38919567960402235,0.259463419903377,0.01,0.02,0.21,0.01,0.03,0.14,0.15,0.04,0.17,0.22
AIZ,0.08497771058744574,0.47875125390122386,0.17749866949691243,KR,0.03635561420812268,Assurant,Financials,Multi-line Insurance,AIZ,LLY,NLOK,NEM,MKTX,NFLX,EBAY,DXCM,EA,ATVI,0.3421587693805353,0.2531100125604014,0.13,0.14,0.15,0.14,0.01,0.04,0.19,0.02,0.03,0.13,0.4004078526007391,0.2625344536312148,0.0,0.19,0.1,0.14,0.01,0.12,0.19,0.06,0.0,0.17
T,-0.17961538533332874,0.3446858861022318,-0.5210987527352828,DPZ,0.17227348011029844,AT&T Inc.,Communication Services,Integrated Telecommunication Services,T,AMAT,SIVB,CARR,KSU,FFIV,CTVA,KEYS,CAT,MS,0.44441983733172263,0.3233701513438749,0.18,0.05,0.0,0.18,0.11,0.15,0.07,0.17,0.07,0.01,0.916677932714817,0.4291881734539193,0.02,0.03,0.14,0.48,0.11,0.04,0.08,0.0,0.04,0.08
ATO,-0.1494990598589356,0.4020186144514427,-0.3718709892648333,VNT,0.03967131085254612,Atmos Energy,Utilities,Gas Utilities,ATO,MU,MS,OTIS,AMAT,KSU,ANET,ABBV,SIVB,FFIV,0.3521465159408569,0.29891010401309787,0.01,0.04,0.0,0.23,0.06,0.11,0.05,0.28,0.03,0.19,0.40719617488093635,0.32784516231401645,0.01,0.03,0.03,0.3,0.12,0.04,0.27,0.13,0.02,0.05
ADSK,0.4714374613430197,0.4881142801025411,0.9658341920338451,KR,0.1419521336400609,Autodesk Inc.,Information Technology,Application Software,ADSK,REGN,NLOK,DXCM,CLX,NEM,LLY,MU,CHD,CHRW,0.29395864300943725,0.22963881877027278,0.05,0.1,0.17,0.01,0.19,0.07,0.09,0.03,0.07,0.2,0.36589009300635594,0.2589684521097398,0.16,0.04,0.12,0.0,0.16,0.22,0.23,0.01,0.01,0.05
ADP,-0.019494754998980002,0.4337577677774578,-0.044943875239098686,VNT,0.07251306168537319,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,ADP,CHD,AMZN,LLY,EBAY,TSCO,EA,ATVI,WST,NFLX,0.3389223969033423,0.2616777543104666,0.07,0.22,0.08,0.16,0.12,0.11,0.1,0.06,0.05,0.0,0.48564545477906484,0.2833442227805533,0.01,0.0,0.19,0.04,0.23,0.13,0.04,0.14,0.22,0.0
AZO,0.01711192955131669,0.4073727895218041,0.042005578161967046,VNT,0.03403136345369887,AutoZone Inc,Consumer Discretionary,Specialty Stores,AZO,REGN,NLOK,CLX,LLY,NEM,MU,ENPH,VNT,DXCM,0.4132639512148701,0.2025954812197275,0.1,0.05,0.19,0.15,0.11,0.13,0.01,0.0,0.24,0.01,0.5739796547185678,0.23330134634380742,0.06,0.06,0.13,0.13,0.14,0.08,0.03,0.07,0.3,0.02
AVB,-0.1791969398625696,0.4911832496907648,-0.3648270578758273,KR,0.07065450995808538,AvalonBay Communities,Real Estate,Residential REITs,AVB,TT,KEYS,CAT,ANET,KSU,FFIV,ALB,LB,CTVA,0.2835128173146762,0.3370162529466947,0.13,0.16,0.17,0.04,0.19,0.03,0.22,0.02,0.0,0.02,0.5387515302429587,0.39631034854918656,0.0,0.04,0.05,0.02,0.2,0.0,0.21,0.21,0.1,0.16
AVY,0.198189545798565,0.46713456221986605,0.42426650012097195,NFLX,0.09886805849540278,Avery Dennison Corp,Materials,Paper Packaging,AVY,NLOK,CLX,DXCM,NEM,LLY,REGN,EBAY,EA,NFLX,0.31203197767079255,0.2372566670054128,0.13,0.19,0.22,0.01,0.1,0.15,0.06,0.09,0.03,0.0,0.4016092047652368,0.26429695706719847,0.01,0.08,0.01,0.04,0.2,0.26,0.03,0.2,0.0,0.16
