,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
AFL,-0.08767151841776291,0.5558794888096169,-0.15771677167924705,CLX,-0.07171822081790528,AFLAC Inc,Financials,Life & Health Insurance,AFL,CTLT,CHRW,TTWO,AMD,SNPS,FAST,PGR,CDNS,POOL,0.35813786544093124,0.2814410839910544,0.03,0.03,0.29,0.23,0.02,0.04,0.19,0.1,0.01,0.05,0.5760370304442842,0.3551422923813166,0.0,0.28,0.12,0.12,0.06,0.23,0.02,0.05,0.09,0.03
A,0.3942298086085784,0.3528621453151919,1.1172346306981586,VNT,0.06781725332832113,Agilent Technologies Inc,Health Care,Health Care Equipment,A,REGN,NLOK,DXCM,CLX,LLY,NEM,EBAY,EA,MU,0.3520952922478498,0.23990404341012153,0.04,0.07,0.18,0.05,0.2,0.06,0.11,0.18,0.1,0.0,0.38714393875763914,0.252225119925309,0.08,0.0,0.09,0.09,0.17,0.2,0.16,0.15,0.01,0.04
APD,0.20675681011742092,0.42739739447160224,0.4837577692139126,VNT,0.04539090796978583,Air Products & Chemicals Inc,Materials,Industrial Gases,APD,MU,LLY,VNT,FFIV,KEYS,REGN,ANET,ALXN,AMAT,0.4713252365222131,0.25020470515688586,0.01,0.06,0.14,0.3,0.21,0.1,0.02,0.13,0.0,0.02,0.4713252365222131,0.25020470515688586,0.01,0.06,0.14,0.3,0.21,0.1,0.02,0.13,0.0,0.02
AKAM,0.24306468254037616,0.37142246109164534,0.6544156802633485,MAR,-0.022825097380120677,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,AKAM,VNT,MU,AES,KEYS,SIVB,CTVA,FFIV,AMAT,ALB,0.41877507325900354,0.2691366559386364,0.3,0.22,0.07,0.1,0.04,0.06,0.01,0.15,0.03,0.01,0.60189636452882,0.3187135016263794,0.06,0.29,0.08,0.01,0.1,0.07,0.1,0.05,0.01,0.23
ALK,-0.20477664616414734,0.7762597390556883,-0.2637991330237685,CTXS,-0.08981914512288361,Alaska Air Group Inc,Industrials,Airlines,ALK,CHRW,FAST,SNPS,TMO,TTWO,DHR,POOL,CMG,AMD,0.36325057121820414,0.27728145897490636,0.02,0.23,0.14,0.03,0.22,0.04,0.17,0.1,0.03,0.0,0.49091196713820884,0.3177973234485704,0.0,0.08,0.0,0.21,0.16,0.08,0.18,0.13,0.06,0.09
ALB,0.9008744005765703,0.6063607141788576,1.4857070709083575,VNT,0.05125990564236021,Albemarle Corp,Materials,Specialty Chemicals,ALB,REGN,DXCM,CLX,NLOK,NEM,LLY,EBAY,EA,NFLX,0.37312807886495425,0.241070604082691,0.06,0.07,0.0,0.39,0.23,0.02,0.06,0.04,0.0,0.12,0.5288212661398715,0.28651190652570047,0.21,0.02,0.01,0.03,0.14,0.07,0.17,0.11,0.03,0.21
ARE,0.11433040207635715,0.4127101350066603,0.27702349028698336,VNT,0.039815248468231014,Alexandria Real Estate Equities,Real Estate,Office REITs,ARE,REGN,CLX,NLOK,NEM,DXCM,LLY,ENPH,KEYS,DG,0.3445926672042058,0.23920850145164144,0.02,0.05,0.18,0.18,0.07,0.1,0.13,0.01,0.06,0.18,0.8034198208878972,0.40099621771035865,0.0,0.15,0.04,0.11,0.1,0.09,0.14,0.29,0.04,0.03
ALXN,0.32963592334684166,0.44902232148259313,0.7341192354501254,CARR,0.06547941177691795,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,ALXN,REGN,CLX,NLOK,DXCM,NEM,EBAY,AMZN,NFLX,EA,0.3517329493549597,0.23908111816148447,0.06,0.08,0.31,0.17,0.03,0.13,0.05,0.13,0.0,0.03,0.4275229245603428,0.26032063824195734,0.02,0.01,0.06,0.21,0.04,0.16,0.19,0.21,0.1,0.0
ALGN,0.6744868707965015,0.6647051300593522,1.014715909799396,KR,-0.005533108053349161,Align Technology,Health Care,Health Care Supplies,ALGN,REGN,NLOK,DXCM,CLX,NEM,LLY,EBAY,EA,NFLX,0.364526129578053,0.23729640355637674,0.04,0.05,0.27,0.02,0.23,0.05,0.12,0.13,0.02,0.05,0.4467835727389984,0.2685174982141866,0.09,0.01,0.05,0.05,0.07,0.16,0.15,0.23,0.02,0.16
ALLE,-0.06376944799551129,0.442587115532359,-0.1440833810058099,VNT,0.08156860836474535,Allegion,Industrials,Building Products,ALLE,CMG,PGR,SNPS,POOL,TMO,FAST,DHR,CTLT,UPS,0.384656353934835,0.290014310044845,0.01,0.15,0.16,0.03,0.01,0.16,0.18,0.11,0.04,0.12,0.5466512177354726,0.3434433420936684,0.01,0.12,0.03,0.21,0.06,0.22,0.02,0.09,0.23,0.01
LNT,-0.048948524487652606,0.37385709384092175,-0.1309284357420284,VNT,0.021609070473903362,Alliant Energy Corp,Utilities,Electric Utilities,LNT,NFLX,ATVI,FFIV,NLOK,EA,MSCI,ETSY,EBAY,ENPH,0.31377169190944576,0.2626307119820444,0.21,0.08,0.01,0.1,0.19,0.19,0.02,0.01,0.16,0.02,1.0551467679611746,0.47230192978004687,0.02,0.02,0.2,0.01,0.14,0.06,0.02,0.21,0.03,0.3
ALL,0.027305671092596902,0.4170601454956199,0.06547178239759108,KR,0.13809712749712846,Allstate Corp,Financials,Property & Casualty Insurance,ALL,FDX,IDXX,TSLA,LLY,LOW,COST,MSCI,SNPS,CMG,0.384611978230765,0.29892511268095506,0.17,0.02,0.07,0.03,0.24,0.02,0.26,0.08,0.07,0.03,0.9839933292462366,0.4208922872776994,0.03,0.02,0.13,0.31,0.25,0.07,0.04,0.13,0.01,0.01
GOOGL,0.29554007778156083,0.37666016859575724,0.7846332116384281,VNT,0.05413740263381991,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,GOOGL,REGN,NLOK,CLX,DXCM,LLY,NEM,VNT,EBAY,EA,0.44176411418731026,0.1964671415474595,0.07,0.0,0.09,0.16,0.02,0.09,0.16,0.26,0.09,0.04,0.5115968854547803,0.21102253921935524,0.01,0.04,0.22,0.02,0.07,0.14,0.02,0.38,0.1,0.01
GOOG,0.2974043718854872,0.37455911305788764,0.7940118435712008,VNT,0.06395003983390975,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,GOOG,REGN,NLOK,CLX,DXCM,LLY,NEM,VNT,EBAY,EA,0.43630027519164555,0.19534293023519692,0.04,0.01,0.12,0.22,0.0,0.01,0.1,0.27,0.15,0.08,0.4868190108956439,0.20831726164182107,0.01,0.01,0.1,0.07,0.05,0.15,0.13,0.28,0.19,0.02
MO,-0.08286828277168831,0.35039547589762543,-0.2364992942885479,DPZ,0.1051698523719574,Altria Group Inc,Consumer Staples,Tobacco,MO,MSCI,WST,NVDA,LLY,BIO,ATVI,ROL,TMUS,AMZN,0.40585463308586744,0.27429706763673267,0.18,0.03,0.09,0.0,0.04,0.04,0.06,0.18,0.09,0.28,0.5414751589932836,0.29920178021804894,0.01,0.0,0.22,0.05,0.17,0.05,0.02,0.22,0.07,0.2
AMZN,0.5381573437890091,0.37441549636198385,1.437326577072868,CARR,-0.09530804359412004,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,AMZN,VNT,MU,AES,FFIV,KEYS,ANET,MS,AMAT,SIVB,0.49632461002304595,0.2585021984316243,0.17,0.3,0.06,0.08,0.18,0.06,0.03,0.04,0.0,0.06,0.49632461002304595,0.2585021984316243,0.17,0.3,0.06,0.08,0.18,0.06,0.03,0.04,0.0,0.06
AMCR,0.06845195581024364,0.46211149416414743,0.14812865872132733,VNT,0.13324061038727644,Amcor plc,Materials,Paper Packaging,AMCR,REGN,NLOK,VNT,LLY,CLX,DXCM,NEM,MU,NFLX,0.44899801711216447,0.20424057631075593,0.05,0.11,0.12,0.29,0.03,0.18,0.07,0.08,0.01,0.06,0.4829478034373445,0.21764976940659184,0.01,0.18,0.06,0.28,0.08,0.06,0.01,0.17,0.04,0.11
AEE,-0.02170484791704162,0.4174645208425749,-0.0519920779692473,CARR,0.06053448331273381,Ameren Corp,Utilities,Multi-Utilities,AEE,DXCM,REGN,FFIV,CLX,LLY,NEM,KEYS,ALXN,NLOK,0.34088819059383824,0.2349768970652696,0.0,0.01,0.04,0.19,0.21,0.16,0.15,0.06,0.03,0.14,0.37739906679511326,0.2556668022356892,0.0,0.09,0.07,0.19,0.06,0.23,0.19,0.02,0.03,0.12
AAL,-0.5151717176408347,0.9724106226820213,-0.5297882454429913,CHD,-0.11612405206384242,American Airlines Group,Industrials,Airlines,AAL,FCX,ALB,FFIV,LB,ANET,TXN,GOOGL,QRVO,GOOG,0.33133972351217067,0.3535633385186466,0.03,0.04,0.02,0.21,0.01,0.1,0.22,0.3,0.02,0.05,0.6252920092029592,0.44120398328797017,0.01,0.07,0.32,0.05,0.15,0.16,0.01,0.02,0.01,0.2
AEP,-0.11119104483886821,0.3718204681965198,-0.299044980977486,CARR,0.04181516956652419,American Electric Power,Utilities,Electric Utilities,AEP,QRVO,INTU,ANET,MXIM,AVGO,FCX,PWR,ALB,LRCX,0.2836545736559912,0.3518238612994989,0.36,0.03,0.12,0.01,0.02,0.14,0.02,0.2,0.04,0.04,0.6045339356916415,0.4139866471951439,0.0,0.0,0.07,0.09,0.18,0.11,0.04,0.21,0.28,0.01
AXP,0.040844259382020784,0.6055659247845102,0.0674480807296995,KR,-0.01378708202128942,American Express Co,Financials,Consumer Finance,AXP,DG,ATVI,WST,EBAY,EA,LLY,TSCO,BIO,AMZN,0.39049864920625915,0.259752247631816,0.06,0.17,0.04,0.09,0.17,0.14,0.05,0.07,0.06,0.13,0.5114533776870427,0.2894757412740537,0.04,0.01,0.1,0.26,0.05,0.02,0.11,0.15,0.02,0.25
AIG,-0.14858013782798593,0.6941230701653344,-0.21405445837233933,CLX,-0.002193486418599233,American International Group,Financials,Property & Casualty Insurance,AIG,SNPS,POOL,CTLT,FAST,TMO,CMG,AAPL,DHR,TTWO,0.4470609832654357,0.300700134667397,0.0,0.01,0.08,0.0,0.05,0.22,0.14,0.02,0.23,0.24,0.5600381930071637,0.3449277953625432,0.0,0.19,0.0,0.19,0.01,0.14,0.15,0.11,0.08,0.13
AMT,0.054933650028327174,0.42616008012890133,0.12890379129765347,VNT,0.05741976436644973,American Tower Corp.,Real Estate,Specialized REITs,AMT,GRMN,TYL,AMD,IDXX,KSU,ETSY,BLK,BLL,TTWO,0.3348650530103746,0.2997848507440233,0.11,0.12,0.19,0.03,0.06,0.14,0.0,0.05,0.11,0.17,0.8087293266541302,0.4105594718664269,0.07,0.03,0.09,0.03,0.19,0.07,0.38,0.02,0.06,0.05
AWK,0.2771863456712567,0.41193206818798733,0.6728933411048768,VNT,0.0022680983535515176,American Water Works Company Inc,Utilities,Water Utilities,AWK,REGN,VNT,LLY,DXCM,NLOK,CLX,FFIV,MU,NEM,0.41372979209901334,0.19767545904013437,0.04,0.1,0.22,0.06,0.03,0.18,0.14,0.14,0.0,0.08,0.4693290469919302,0.20994918776918328,0.04,0.04,0.29,0.2,0.01,0.12,0.03,0.09,0.06,0.11
AMP,0.2441930764858641,0.6654296987352829,0.36697051085934096,KR,0.13904588051926356,Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP,REGN,NLOK,CLX,DXCM,NEM,LLY,NFLX,AMZN,EBAY,0.3702029630422058,0.24016116750327016,0.01,0.02,0.27,0.28,0.03,0.05,0.07,0.04,0.12,0.11,0.43260507496749456,0.2553745782196797,0.0,0.01,0.12,0.1,0.02,0.15,0.1,0.12,0.18,0.2
ABC,0.2149787068928456,0.40842399242206645,0.5263616018685945,VNT,0.15753599650230166,AmerisourceBergen Corp,Health Care,Health Care Distributors,ABC,VNT,AES,MU,REGN,LLY,NLOK,KEYS,ALXN,FFIV,0.451752783580936,0.22505813376354955,0.16,0.33,0.02,0.0,0.11,0.14,0.05,0.0,0.02,0.17,0.451752783580936,0.22505813376354955,0.16,0.33,0.02,0.0,0.11,0.14,0.05,0.0,0.02,0.17
AME,0.18053359440025618,0.44941157887006705,0.40171104370333033,CLX,0.15784844449047125,AMETEK Inc.,Industrials,Electrical Components & Equipment,AME,REGN,CLX,NLOK,DXCM,NEM,LLY,NFLX,EBAY,EA,0.32041861880202516,0.23634498997762163,0.01,0.0,0.25,0.25,0.02,0.15,0.04,0.0,0.06,0.2,0.41447069329449554,0.2567388097863269,0.0,0.02,0.09,0.19,0.06,0.11,0.2,0.18,0.13,0.02
AMGN,0.057682306123681366,0.36642253285492365,0.15742019376990474,CARR,-0.009828272264014549,Amgen Inc.,Health Care,Biotechnology,AMGN,VNT,MU,ENPH,CTVA,AES,ALB,DVA,BLL,KEYS,0.5210298443961675,0.26778722023121837,0.15,0.33,0.01,0.06,0.09,0.05,0.0,0.01,0.15,0.15,0.8820235669751748,0.39493944559065847,0.04,0.24,0.07,0.25,0.01,0.0,0.12,0.11,0.12,0.04
APH,0.21448268513495966,0.3971719261183185,0.5400247878322214,KR,0.10180041963813301,Amphenol Corp,Information Technology,Electronic Components,APH,REGN,NLOK,CLX,DXCM,NEM,LLY,NFLX,EBAY,EA,0.33442104275471085,0.23527191650534873,0.06,0.07,0.23,0.23,0.02,0.1,0.07,0.03,0.09,0.09,0.41010076323589173,0.25449180102706026,0.01,0.01,0.14,0.09,0.09,0.08,0.21,0.14,0.21,0.0
ADI,0.2917175856285413,0.48488377864041643,0.6016237260947335,VNT,0.0071192910689743955,"Analog Devices, Inc.",Information Technology,Semiconductors,ADI,REGN,NLOK,CLX,DXCM,NEM,LLY,NFLX,EBAY,AMZN,0.3835325796366515,0.2381584698659519,0.0,0.01,0.19,0.25,0.05,0.08,0.13,0.06,0.12,0.1,0.4347912860749158,0.25800606133397247,0.01,0.0,0.12,0.09,0.02,0.14,0.2,0.14,0.08,0.19
ANSS,0.35538882025128055,0.44438315096056585,0.7997351373090593,VNT,0.07231259310236172,"ANSYS, Inc.",Information Technology,Application Software,ANSS,REGN,CLX,NLOK,DXCM,LLY,VNT,MU,NEM,FFIV,0.4380204362172737,0.20126436808133216,0.03,0.01,0.18,0.2,0.06,0.06,0.25,0.02,0.12,0.07,0.47847506905592707,0.21274105250720576,0.01,0.08,0.01,0.18,0.04,0.13,0.3,0.07,0.12,0.06
ANTM,0.10241164830309908,0.5276242048726622,0.19409960224970216,VNT,0.036304692133988826,Anthem,Health Care,Managed Health Care,ANTM,CLX,NLOK,DXCM,REGN,NEM,LLY,NFLX,EBAY,AMZN,0.38234725893742183,0.2393612448029357,0.0,0.18,0.18,0.06,0.08,0.11,0.08,0.03,0.15,0.11,0.45518182959798503,0.2718837630206765,0.0,0.05,0.06,0.05,0.01,0.17,0.09,0.22,0.16,0.18
AON,0.021571956790145265,0.38619991797539055,0.05585696885497494,CARR,0.02189872690649587,Aon plc,Financials,Insurance Brokers,AON,NLOK,DXCM,NEM,LLY,CLX,NFLX,AMZN,DG,ATVI,0.28397666195957477,0.2269772666341883,0.14,0.25,0.01,0.08,0.01,0.24,0.02,0.03,0.17,0.05,0.44725471625224056,0.27336857306099005,0.01,0.02,0.03,0.2,0.19,0.1,0.16,0.18,0.03,0.09
AOS,0.19894201495635072,0.3688077736436528,0.5394192562453178,NEM,0.06134646835388004,A.O. Smith Corp,Industrials,Building Products,AOS,REGN,NLOK,LLY,DXCM,CLX,VNT,NEM,MU,AES,0.4234169539566239,0.20095992523019712,0.14,0.08,0.06,0.01,0.12,0.25,0.29,0.02,0.01,0.01,0.49290625785842224,0.21200503571415638,0.03,0.15,0.17,0.03,0.02,0.01,0.38,0.12,0.05,0.04
APA,-0.2171980164485366,1.3036929938986077,-0.1666021198741126,CPB,-0.15467445795971063,Apache Corporation,Energy,Oil & Gas Exploration & Production,APA,NKE,NEE,ALGN,KLAC,BLK,ADSK,TER,INTU,TT,0.3800043106026685,0.36318648843717133,0.0,0.14,0.23,0.02,0.04,0.22,0.12,0.0,0.01,0.2,0.5252122878593619,0.42988683199781424,0.0,0.15,0.02,0.2,0.05,0.05,0.08,0.27,0.13,0.06
AAPL,0.5837704100875608,0.452802171011344,1.2892394238828322,VNT,-0.07216454834707037,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL,REGN,LLY,MU,NLOK,DXCM,FFIV,CLX,AES,ANET,0.32446579467553016,0.24667968869980267,0.0,0.15,0.05,0.03,0.29,0.01,0.16,0.23,0.0,0.07,0.4046558151969447,0.275271656959384,0.19,0.07,0.16,0.01,0.17,0.15,0.05,0.17,0.01,0.01
AMAT,0.5179013251497832,0.5845789728329016,0.8859390248677694,VNT,0.07800060125418574,Applied Materials Inc.,Information Technology,Semiconductor Equipment,AMAT,REGN,CLX,NLOK,DXCM,NEM,EBAY,NFLX,AMZN,CHRW,0.3329143579664426,0.22547371981062578,0.0,0.01,0.28,0.28,0.02,0.07,0.08,0.09,0.01,0.15,0.4118747847234495,0.2504491686274055,0.01,0.01,0.08,0.15,0.01,0.16,0.19,0.12,0.15,0.14
APTV,0.3711244346308584,0.7220320273174893,0.5139999620372365,SJM,-0.019831447507194584,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,APTV,CLX,REGN,NLOK,DXCM,NEM,LLY,NFLX,EBAY,AMZN,0.35230624977613767,0.23599263268749712,0.04,0.28,0.05,0.21,0.02,0.17,0.13,0.0,0.02,0.06,0.45154830650017574,0.26727799432735344,0.02,0.0,0.05,0.06,0.02,0.17,0.11,0.09,0.21,0.26
ADM,0.15356491930716043,0.38806045226626995,0.3957242187662838,NEM,0.20516735737616829,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,ADM,REGN,NLOK,DXCM,CLX,LLY,NEM,VNT,NFLX,EA,0.44713298807011825,0.20233254747025395,0.09,0.1,0.15,0.02,0.03,0.04,0.1,0.32,0.03,0.11,0.4904674972755438,0.2118331463394849,0.06,0.01,0.15,0.07,0.01,0.12,0.16,0.31,0.09,0.02
ANET,0.41735847604492415,0.4716853828639934,0.8848238491317972,VNT,0.06292468176561228,Arista Networks,Information Technology,Communications Equipment,ANET,REGN,DXCM,CLX,NLOK,NEM,EBAY,CHRW,AMZN,NFLX,0.3162214570052627,0.22433132422212693,0.05,0.06,0.02,0.26,0.21,0.04,0.07,0.24,0.03,0.01,0.43660198681929796,0.2643613118696033,0.02,0.01,0.04,0.0,0.1,0.16,0.21,0.09,0.18,0.18
AJG,0.2075420308226605,0.39389632798843194,0.526895063689844,KR,0.08315787931243707,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,AJG,REGN,NLOK,CLX,DXCM,NEM,LLY,NFLX,EBAY,EA,0.3385606921945564,0.23865379174669335,0.1,0.03,0.2,0.24,0.01,0.07,0.1,0.01,0.19,0.05,0.41351222685146666,0.2578198223732838,0.02,0.0,0.18,0.06,0.02,0.25,0.22,0.15,0.1,0.0
AIZ,0.0947707862101648,0.47815561573507903,0.19820071769829914,KR,0.03513038324117503,Assurant,Financials,Multi-line Insurance,AIZ,LLY,NLOK,NEM,NFLX,EBAY,DXCM,EA,CLX,AMZN,0.3312401897876085,0.23689735153328106,0.1,0.04,0.25,0.08,0.03,0.03,0.01,0.08,0.24,0.13,0.4368009764282665,0.26234710228858027,0.01,0.15,0.08,0.12,0.14,0.15,0.05,0.04,0.08,0.18
T,-0.18484066321262896,0.34411317741218495,-0.5371507845258233,DPZ,0.17248524368269383,AT&T Inc.,Communication Services,Integrated Telecommunication Services,T,AMAT,SIVB,GRMN,CARR,KSU,FFIV,CTVA,KEYS,MS,0.44382380427841567,0.31697547881728894,0.23,0.06,0.01,0.1,0.21,0.09,0.12,0.02,0.14,0.01,0.7279858668241304,0.38927553233302326,0.04,0.04,0.19,0.02,0.32,0.01,0.01,0.13,0.18,0.06
ATO,-0.14837369455657454,0.4012836397771778,-0.3697476793197015,VNT,0.03769566428772281,Atmos Energy,Utilities,Gas Utilities,ATO,AES,MU,MS,OTIS,GRMN,KSU,AMAT,ANET,GOOGL,0.28690335793475147,0.3065857005695759,0.16,0.09,0.02,0.01,0.25,0.12,0.01,0.02,0.11,0.21,0.38004939551748607,0.3276750701948287,0.01,0.08,0.15,0.05,0.29,0.07,0.01,0.03,0.11,0.19
ADSK,0.49843040548486617,0.4869914972718907,1.0234889279937243,KR,0.14244228449759838,Autodesk Inc.,Information Technology,Application Software,ADSK,REGN,NLOK,CLX,DXCM,NEM,LLY,AES,MU,CHRW,0.3440056213196649,0.23379583440198298,0.04,0.07,0.13,0.18,0.05,0.18,0.12,0.02,0.02,0.17,0.3997691318523352,0.2675085931747324,0.12,0.02,0.11,0.12,0.15,0.21,0.18,0.01,0.01,0.08
ADP,-0.014118518509211014,0.43299200156971823,-0.03260688063065229,VNT,0.06357275941014508,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,ADP,AMZN,EBAY,NFLX,TSCO,LLY,EA,ATVI,WST,ABMD,0.46396471724071053,0.2691607801162961,0.01,0.08,0.14,0.06,0.19,0.09,0.15,0.02,0.05,0.19,0.5715257151136136,0.29629004097713674,0.01,0.3,0.06,0.05,0.01,0.06,0.01,0.02,0.28,0.22
AZO,0.011273337878872993,0.4066927772061676,0.027719542885213624,VNT,0.048203710896820906,AutoZone Inc,Consumer Discretionary,Specialty Stores,AZO,REGN,NLOK,CLX,LLY,NEM,MU,ENPH,DXCM,ANET,0.33581766925334816,0.24881606750155708,0.02,0.1,0.13,0.34,0.05,0.22,0.04,0.0,0.04,0.05,0.7029526082052271,0.3536136841841917,0.0,0.13,0.22,0.21,0.05,0.06,0.01,0.24,0.02,0.06
AVB,-0.16113173255254648,0.4904654469999889,-0.3285282042560485,KR,0.06973502794948586,AvalonBay Communities,Real Estate,Residential REITs,AVB,TT,KEYS,ANET,GOOGL,GOOG,ALB,FFIV,KSU,LB,0.3220543569701505,0.32941345545911926,0.06,0.11,0.14,0.09,0.19,0.17,0.03,0.17,0.01,0.02,0.5891913878360268,0.42784707933999305,0.0,0.2,0.05,0.11,0.02,0.07,0.27,0.09,0.02,0.17
AVY,0.20347814350544116,0.46628170711084693,0.436384572678656,NFLX,0.09684112466857735,Avery Dennison Corp,Materials,Paper Packaging,AVY,CLX,NLOK,DXCM,NEM,REGN,LLY,EBAY,EA,NFLX,0.3213902817851222,0.2348570785817955,0.12,0.27,0.2,0.03,0.03,0.03,0.04,0.15,0.09,0.03,0.4073934265409099,0.2545287330163032,0.02,0.12,0.11,0.05,0.13,0.06,0.19,0.11,0.01,0.19
