,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
AKAM,0.25954644272655336,0.37773794691227947,0.6871071462323238,FRT,-0.06530816315456033,0.0,2.94%,2.45%,1.43%,-5.02%,-1.96%,21.54%,9.30%,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,AKAM,VNT,KEYS,SIVB,ALB,FFIV,TT,AMAT,ANET,ALGN,0.3978450842847324,0.27040148439104045,0.18,0.23,0.08,0.02,0.06,0.2,0.1,0.02,0.03,0.07,0.4670079943416689,0.2959380720531114,0.28,0.27,0.0,0.01,0.21,0.06,0.04,0.01,0.03,0.09
ALK,-0.2783930193417163,0.7798303746171387,-0.35699176180255177,CTXS,-0.110798917092378,1.0,-5.75%,1.53%,2.02%,41.96%,43.41%,-22.81%,-2.65%,Alaska Air Group Inc,Industrials,Airlines,ALK,ADBE,TMUS,PYPL,ABMD,ETSY,MSCI,MSFT,CDNS,ODFL,0.5196033680925198,0.33655697231262033,0.01,0.06,0.23,0.01,0.2,0.04,0.01,0.13,0.07,0.24,0.8163806207738326,0.40774096909415586,0.04,0.0,0.04,0.11,0.28,0.33,0.03,0.03,0.01,0.13
ALB,0.7685610667171154,0.6087533561967005,1.2625163523020937,VNT,0.12087141318345059,2.0,-3.72%,-3.57%,8.79%,65.68%,92.34%,105.39%,12.19%,Albemarle Corp,Materials,Specialty Chemicals,ALB,REGN,DXCM,KR,CLX,NLOK,NEM,AKAM,CHD,EBAY,0.3294302953425161,0.2282925727288238,0.03,0.0,0.05,0.18,0.17,0.19,0.13,0.04,0.14,0.06,0.44420636464924773,0.26101361950355384,0.21,0.0,0.03,0.04,0.24,0.2,0.1,0.0,0.03,0.14
ARE,0.07613073797101326,0.41325938892772257,0.1842202258696371,VNT,0.07595090674946575,0.0,-1.64%,0.28%,9.53%,12.08%,11.26%,13.27%,-5.57%,Alexandria Real Estate Equities,Real Estate,Office REITs,ARE,REGN,KR,CLX,NEM,NLOK,DXCM,LLY,LUMN,WMT,0.3044207384030593,0.2193370156481119,0.02,0.02,0.18,0.19,0.1,0.09,0.01,0.1,0.08,0.19,0.36913661070454734,0.23651516880761322,0.0,0.01,0.14,0.18,0.09,0.1,0.11,0.17,0.17,0.02
ALXN,0.33830413140640325,0.45014205726201223,0.7515497073615763,CARR,0.0714013906638738,2.0,-3.75%,1.93%,27.95%,36.54%,39.20%,44.47%,1.01%,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,ALXN,REGN,KR,CLX,NLOK,DXCM,NEM,AKAM,CHD,EBAY,0.331823205719174,0.22531475627336087,0.05,0.0,0.23,0.13,0.18,0.07,0.07,0.02,0.08,0.16,0.35530203450710507,0.23157376431024743,0.04,0.0,0.09,0.23,0.26,0.02,0.12,0.04,0.01,0.19
ALGN,0.595256836321075,0.6690732890179352,0.8896735919540176,KR,-0.027182422168114614,2.0,-4.76%,-5.84%,11.03%,63.24%,94.72%,91.51%,-0.01%,Align Technology,Health Care,Health Care Supplies,ALGN,REGN,KR,NLOK,DXCM,CLX,AKAM,NEM,LUMN,LLY,0.33626922582359675,0.22457774723236948,0.02,0.07,0.24,0.16,0.03,0.21,0.04,0.06,0.08,0.08,0.39494247825262896,0.2449784362554117,0.03,0.02,0.03,0.19,0.12,0.21,0.01,0.06,0.16,0.17
ALLE,-0.0718512584542932,0.4431766319327512,-0.16212781378147237,VNT,0.06561346027909858,3.0,0.80%,-0.70%,2.35%,18.01%,14.56%,-5.41%,-2.21%,Allegion,Industrials,Building Products,ALLE,TTWO,TMUS,ETSY,MSCI,CDNS,AMD,MSFT,PYPL,NOW,0.42003353375628955,0.34414581587799764,0.22,0.22,0.22,0.06,0.04,0.1,0.0,0.01,0.06,0.06,0.7578654917042935,0.4183060664917995,0.03,0.01,0.33,0.31,0.02,0.17,0.03,0.03,0.0,0.08
LNT,-0.06077137732714723,0.3747279402971244,-0.1621746627138643,VNT,0.07954196649814838,3.0,-1.73%,-0.12%,-2.03%,0.46%,9.22%,-3.16%,-4.27%,Alliant Energy Corp,Utilities,Electric Utilities,LNT,NFLX,FFIV,ATVI,EA,NLOK,AKAM,MSCI,ETSY,ENPH,0.2860387997499134,0.26212124351180355,0.14,0.01,0.21,0.09,0.13,0.2,0.16,0.02,0.01,0.01,0.9175646601517008,0.4460854956376501,0.01,0.21,0.02,0.1,0.03,0.1,0.03,0.03,0.27,0.2
ALL,0.012967313757978388,0.41710462748034816,0.031088875317235223,KR,0.1265493480888219,0.0,0.90%,1.87%,7.41%,17.38%,14.60%,-0.12%,0.78%,Allstate Corp,Financials,Property & Casualty Insurance,ALL,TTWO,PGR,FAST,AMD,CDNS,CTLT,AAPL,DHR,CMG,0.36292136425321797,0.30601864218736463,0.1,0.2,0.16,0.15,0.01,0.04,0.04,0.09,0.13,0.06,0.5195219013522744,0.35917050710805726,0.0,0.1,0.07,0.04,0.05,0.11,0.16,0.23,0.13,0.12
GOOGL,0.28225922448494545,0.3802290165922312,0.7423400428895951,VNT,0.12930392786087821,0.0,-4.67%,9.55%,-0.10%,19.59%,23.60%,30.85%,5.92%,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,GOOGL,REGN,KR,NLOK,DXCM,CLX,NEM,LUMN,AKAM,LLY,0.33134322927575677,0.22101675356875458,0.07,0.0,0.22,0.2,0.05,0.18,0.07,0.03,0.04,0.12,0.37894073117803206,0.24075678054456892,0.07,0.03,0.01,0.22,0.09,0.22,0.09,0.14,0.01,0.13
GOOG,0.2885138776610625,0.378141596410367,0.762978419723921,VNT,0.13491995287887842,0.0,-4.51%,9.50%,-0.50%,19.21%,23.93%,31.03%,6.53%,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,GOOG,REGN,KR,NLOK,DXCM,CLX,NEM,LUMN,AKAM,LLY,0.33721563046923714,0.22365060079031898,0.09,0.02,0.14,0.22,0.05,0.27,0.09,0.03,0.03,0.05,0.37185414461193417,0.23850316135031507,0.01,0.01,0.12,0.12,0.07,0.17,0.12,0.17,0.02,0.19
MO,-0.06905655040558949,0.35105098750131464,-0.196713733515223,DPZ,0.10901933358978765,3.0,-0.97%,1.53%,5.04%,8.28%,8.74%,-10.21%,4.27%,Altria Group Inc,Consumer Staples,Tobacco,MO,NFLX,DG,MKTX,AMZN,BIO,WST,NVDA,WMT,MSCI,0.20380520937611057,0.2539016520430089,0.25,0.02,0.26,0.02,0.02,0.11,0.03,0.01,0.23,0.05,0.4447845308908922,0.29009631823707743,0.06,0.09,0.0,0.05,0.25,0.09,0.29,0.02,0.11,0.03
AMZN,0.5131399125441052,0.3747698292559567,1.369213507829217,VNT,-0.049889252236388126,2.0,-2.81%,6.06%,2.81%,3.44%,18.06%,76.26%,0.69%,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,AMZN,VNT,LUMN,KEYS,FFIV,ANET,LLY,AMAT,SIVB,ALB,0.4381029257204515,0.23517520464030617,0.25,0.24,0.12,0.05,0.18,0.0,0.09,0.01,0.05,0.0,0.5085519999342633,0.271404166591025,0.21,0.25,0.14,0.03,0.05,0.01,0.07,0.01,0.07,0.16
AMCR,0.07160210283111462,0.4632648418322911,0.15455976013184197,KR,0.12544991513287856,0.0,-1.34%,0.36%,3.88%,7.58%,17.63%,13.42%,-4.55%,Amcor plc,Materials,Paper Packaging,AMCR,REGN,KR,VNT,NLOK,LLY,CLX,LUMN,DXCM,NEM,0.3490639399258713,0.18825816495648431,0.04,0.05,0.21,0.22,0.13,0.05,0.18,0.07,0.02,0.02,0.3873155764312534,0.1983167431369918,0.01,0.06,0.1,0.25,0.09,0.09,0.22,0.06,0.03,0.11
AEE,0.02113297169068562,0.4182000700238374,0.0505331615307502,CARR,0.056288498694075914,0.0,-0.16%,-2.03%,1.03%,-0.64%,12.38%,4.26%,-3.32%,Ameren Corp,Utilities,Multi-Utilities,AEE,KR,DXCM,FFIV,CLX,REGN,NEM,LUMN,MKTX,KEYS,0.29789694201108075,0.23530078227015738,0.06,0.2,0.02,0.12,0.22,0.11,0.21,0.01,0.03,0.0,0.3460028881686992,0.23919034311565793,0.03,0.02,0.03,0.15,0.34,0.07,0.11,0.17,0.03,0.04
AAL,-0.44656150690154356,0.9783438363322298,-0.4564463845100553,CHD,-0.11791261688664144,1.0,6.63%,0.38%,11.61%,28.32%,20.66%,-44.81%,14.90%,American Airlines Group,Industrials,Airlines,AAL,AVGO,ALXN,ALGN,TWTR,FFIV,NKE,LRCX,TXN,ZBRA,0.32656410913552214,0.34501304858442694,0.01,0.01,0.24,0.03,0.06,0.26,0.02,0.02,0.27,0.07,0.4198691876143593,0.40225656033298285,0.0,0.01,0.2,0.2,0.12,0.11,0.12,0.11,0.02,0.12
AEP,-0.09713420890258183,0.37242212314310075,-0.2608175048324362,CARR,0.04760490133873436,3.0,-1.69%,2.00%,-1.91%,2.72%,6.29%,-9.01%,-1.86%,American Electric Power,Utilities,Electric Utilities,AEP,INTU,LRCX,MXIM,DE,ANET,PWR,AVGO,RMD,LOW,0.2600369648679801,0.3461552508689291,0.28,0.0,0.03,0.09,0.02,0.17,0.17,0.14,0.09,0.0,0.44716470108936934,0.40810158795271706,0.01,0.03,0.05,0.03,0.23,0.0,0.37,0.04,0.07,0.17
AXP,-0.03129539219494451,0.6096823357247825,-0.05133065263854324,CLX,-0.042474314442294166,3.0,-1.77%,3.27%,1.96%,21.11%,28.12%,-1.14%,-1.53%,American Express Co,Financials,Consumer Finance,AXP,AMZN,EBAY,NFLX,MKTX,DG,ATVI,AKAM,WST,LLY,0.3543079554244559,0.2618715831613766,0.06,0.09,0.2,0.1,0.04,0.23,0.08,0.06,0.04,0.08,0.466556342947653,0.28033405419814533,0.01,0.14,0.28,0.03,0.01,0.05,0.11,0.02,0.21,0.14
AIG,-0.21050813527143436,0.6963165560828375,-0.30231671706279406,KR,-0.013604425449555431,3.0,-3.86%,-3.07%,-0.71%,38.64%,23.78%,-23.08%,1.80%,American International Group,Financials,Property & Casualty Insurance,AIG,MSCI,TMUS,PYPL,ETSY,ABMD,MSFT,PGR,ADBE,AMD,0.42149484402918663,0.331485871736747,0.03,0.14,0.07,0.02,0.02,0.2,0.06,0.28,0.14,0.03,0.7881452322767739,0.39746791912973095,0.03,0.04,0.06,0.01,0.32,0.33,0.15,0.03,0.01,0.01
AMT,0.025649663880059254,0.42572845903918277,0.060248882440106115,VNT,0.07487805056349678,0.0,-1.39%,1.83%,-2.37%,-6.62%,-12.27%,-0.48%,2.47%,American Tower Corp.,Real Estate,Specialized REITs,AMT,TMO,INTU,CMI,GOOG,AAPL,LUMN,GOOGL,TROW,BLK,0.32774301189181543,0.31167525559007614,0.07,0.16,0.05,0.09,0.15,0.06,0.21,0.16,0.03,0.0,0.4080709730654776,0.3259427547126494,0.0,0.17,0.04,0.21,0.03,0.23,0.21,0.03,0.05,0.02
AWK,0.2612957394484644,0.4134183714725002,0.6320370778826051,VNT,0.05318910216107775,0.0,-1.63%,0.75%,0.06%,6.29%,20.14%,26.88%,4.12%,American Water Works Company Inc,Utilities,Water Utilities,AWK,VNT,REGN,DXCM,LUMN,LLY,KR,NLOK,CLX,NEM,0.3430699243243973,0.1891100077289949,0.16,0.27,0.01,0.01,0.02,0.01,0.24,0.18,0.05,0.05,0.3841498279589071,0.19370591702643383,0.03,0.25,0.02,0.04,0.07,0.05,0.07,0.12,0.25,0.1
AMP,0.1958856373544314,0.6670496520677905,0.2936597549330916,KR,0.1215250687386993,0.0,-4.64%,1.69%,4.91%,26.86%,31.18%,19.82%,4.13%,Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP,KR,REGN,NLOK,CLX,DXCM,NEM,AKAM,LLY,MKTX,0.31350964823186056,0.2322102904556371,0.01,0.25,0.07,0.23,0.09,0.0,0.17,0.1,0.07,0.01,0.3704052597577827,0.24587997354727836,0.01,0.04,0.04,0.2,0.24,0.07,0.14,0.02,0.21,0.03
ABC,0.24248755246116147,0.40997867255148196,0.5914638216472389,NEM,0.16498996318455506,0.0,-1.84%,0.90%,-5.19%,1.29%,-2.18%,17.03%,11.50%,AmerisourceBergen Corp,Health Care,Health Care Distributors,ABC,VNT,LUMN,REGN,NLOK,KR,LLY,DXCM,KEYS,ALXN,0.3680968848479972,0.20277185829697905,0.02,0.29,0.11,0.06,0.08,0.22,0.05,0.06,0.03,0.07,0.4068088023839218,0.22172899472498994,0.01,0.31,0.06,0.08,0.19,0.02,0.2,0.08,0.01,0.03
AME,0.13229860665219265,0.4520731249102769,0.2926486874849063,CLX,0.14113566862640095,0.0,-1.98%,-1.39%,2.19%,21.86%,35.79%,22.19%,-5.08%,AMETEK Inc.,Industrials,Electrical Components & Equipment,AME,REGN,KR,CLX,NLOK,DXCM,NEM,LLY,AKAM,LUMN,0.3224567707737785,0.22368046202582975,0.02,0.06,0.25,0.1,0.15,0.04,0.13,0.1,0.05,0.08,0.36863387669971215,0.23326579851947615,0.0,0.07,0.05,0.2,0.24,0.07,0.08,0.12,0.0,0.16
AMGN,0.08147317734950647,0.3686302464297641,0.22101598590616392,CARR,-0.0009449980148933684,0.0,-2.92%,3.26%,3.55%,-8.92%,-1.20%,-1.99%,11.94%,Amgen Inc.,Health Care,Biotechnology,AMGN,VNT,BLL,ENPH,TT,ALB,DVA,LB,KEYS,ANET,0.3610211407217022,0.25703698092782995,0.18,0.29,0.18,0.01,0.07,0.07,0.01,0.0,0.11,0.07,0.6943735935227244,0.3444914716394674,0.0,0.37,0.02,0.14,0.08,0.21,0.12,0.02,0.02,0.03
APH,0.15119589263528846,0.39919301460125217,0.3787538536622835,KR,0.07306530848509422,0.0,-3.42%,0.38%,0.19%,21.05%,37.12%,22.09%,-3.54%,Amphenol Corp,Information Technology,Electronic Components,APH,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LLY,LUMN,0.29974013463453114,0.22314170889496016,0.19,0.02,0.16,0.14,0.03,0.22,0.1,0.04,0.06,0.03,0.358894270115609,0.22692628162181464,0.0,0.01,0.09,0.21,0.04,0.27,0.14,0.02,0.14,0.07
ADI,0.22122917429678163,0.48769360546593826,0.45362328276874,VNT,0.12464528305652862,0.0,-4.81%,-1.38%,6.69%,27.11%,21.62%,26.87%,1.20%,"Analog Devices, Inc.",Information Technology,Semiconductors,ADI,REGN,KR,NLOK,CLX,DXCM,NEM,AKAM,CHD,LUMN,0.3087006947603931,0.22563476120960066,0.03,0.06,0.22,0.2,0.16,0.01,0.09,0.12,0.02,0.08,0.355724200104738,0.2339795131042322,0.0,0.06,0.06,0.28,0.29,0.05,0.05,0.03,0.01,0.17
ANSS,0.3139318431308511,0.44913776627895846,0.6989655885135893,VNT,0.14902225932978636,2.0,-4.85%,2.82%,7.61%,11.18%,24.70%,41.33%,0.17%,"ANSYS, Inc.",Information Technology,Application Software,ANSS,REGN,KR,LUMN,DXCM,CLX,NLOK,LLY,NEM,VNT,0.35069202187453197,0.19239210632739948,0.04,0.09,0.17,0.01,0.03,0.17,0.21,0.02,0.03,0.21,0.3900948984191025,0.1967024588135536,0.0,0.03,0.1,0.07,0.07,0.13,0.23,0.07,0.06,0.25
ANTM,0.00551355206667871,0.5339249526537612,0.010326455130584859,KR,0.04721904731143562,3.0,-7.15%,-3.78%,3.38%,19.90%,22.89%,7.74%,-5.78%,Anthem,Health Care,Managed Health Care,ANTM,KR,CLX,REGN,NLOK,DXCM,AKAM,NEM,LLY,NFLX,0.3298258477116154,0.22977768842865087,0.0,0.15,0.18,0.09,0.21,0.04,0.07,0.15,0.02,0.07,0.39204185623846366,0.25826097308508766,0.0,0.1,0.19,0.01,0.13,0.2,0.03,0.04,0.19,0.11
AON,0.009732049840313105,0.3867017217209995,0.025166812800835315,CARR,0.02528921858974265,0.0,-1.51%,-0.71%,3.11%,2.66%,10.20%,2.37%,-1.42%,Aon plc,Financials,Insurance Brokers,AON,NEM,NLOK,DXCM,CLX,MKTX,LLY,KR,NFLX,AMZN,0.32762502434996355,0.22045220329640597,0.04,0.1,0.22,0.03,0.14,0.03,0.16,0.21,0.01,0.03,0.41212314302030395,0.25403688006211184,0.01,0.02,0.11,0.05,0.22,0.01,0.19,0.07,0.1,0.22
AOS,0.22399501902448246,0.3884792629467992,0.5765945325507832,NEM,0.08410540372690455,0.0,-2.39%,1.64%,-2.65%,4.35%,17.46%,17.46%,9.05%,A.O. Smith Corp,Industrials,Building Products,AOS,REGN,NLOK,KR,LUMN,DXCM,LLY,CLX,VNT,NEM,0.3607757589075482,0.18506363592199065,0.05,0.04,0.07,0.18,0.05,0.02,0.05,0.23,0.25,0.05,0.3896224684011052,0.1961489124430362,0.06,0.02,0.17,0.06,0.05,0.11,0.04,0.13,0.29,0.07
APA,-0.5090863392846063,1.2968180882150995,-0.39256572985136035,CPB,-0.16071393290797156,1.0,-4.58%,-5.02%,10.09%,50.23%,5.58%,-43.71%,4.38%,Apache Corporation,Energy,Oil & Gas Exploration & Production,APA,TER,DVA,NDAQ,INTU,KLAC,A,ADSK,ANSS,NKE,0.350272788796653,0.346857800476356,0.01,0.01,0.27,0.16,0.01,0.07,0.25,0.03,0.09,0.1,0.4033814927676076,0.3706921381143781,0.0,0.21,0.27,0.03,0.06,0.0,0.04,0.2,0.11,0.07
AAPL,0.6043643270831365,0.45489673123170876,1.3285747854171632,VNT,-0.06014478744355853,2.0,-0.77%,9.38%,11.46%,14.77%,46.01%,82.31%,5.03%,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL,REGN,LUMN,LLY,KR,NLOK,DXCM,CLX,FFIV,NEM,0.33135003416938846,0.2171194118119389,0.01,0.05,0.02,0.05,0.19,0.18,0.01,0.19,0.15,0.14,0.4287139598470677,0.2558282561585896,0.22,0.0,0.13,0.15,0.05,0.08,0.06,0.21,0.0,0.09
AMAT,0.47469953682568744,0.5888669749164192,0.8061235508971512,KR,0.15073472893039075,2.0,-6.59%,3.09%,4.63%,45.59%,43.66%,43.29%,17.94%,Applied Materials Inc.,Information Technology,Semiconductor Equipment,AMAT,REGN,KR,DXCM,NLOK,CLX,NEM,AKAM,CHD,EBAY,0.3044743123012573,0.22900422729039138,0.02,0.02,0.18,0.03,0.13,0.14,0.1,0.12,0.16,0.08,0.36291984534314065,0.2370599813757063,0.02,0.02,0.17,0.06,0.13,0.21,0.13,0.01,0.0,0.25
APTV,0.2885692756170911,0.7253544246878614,0.39783210220475307,CLX,-0.04103628020369436,2.0,-5.70%,-2.28%,9.76%,42.11%,67.21%,37.54%,0.54%,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,APTV,REGN,KR,CLX,DXCM,NLOK,NEM,AKAM,LLY,EBAY,0.3271365203179978,0.2230501555607485,0.04,0.0,0.27,0.23,0.06,0.19,0.05,0.06,0.04,0.05,0.3809253689813264,0.2428026400779233,0.02,0.07,0.02,0.27,0.02,0.14,0.09,0.01,0.17,0.19
ADM,0.11283554900222914,0.39171438811284665,0.2880556661342831,DPZ,0.2115419086278371,0.0,-4.98%,1.19%,1.29%,9.22%,28.29%,12.44%,0.32%,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,ADM,REGN,KR,DXCM,NLOK,CLX,NEM,LLY,AKAM,LUMN,0.32844708325006966,0.223181513633687,0.03,0.01,0.22,0.02,0.23,0.19,0.05,0.07,0.02,0.14,0.3897878861862073,0.25057762685071416,0.01,0.03,0.03,0.11,0.08,0.23,0.08,0.23,0.05,0.16
ANET,0.36241944401476867,0.47154290224148915,0.7685821211431668,VNT,0.07652563112029394,2.0,-0.43%,-1.85%,7.34%,40.42%,38.35%,42.86%,5.27%,Arista Networks,Information Technology,Communications Equipment,ANET,REGN,KR,DXCM,CLX,NLOK,AKAM,NEM,CHD,EBAY,0.332339518982002,0.22922668513882338,0.06,0.06,0.19,0.04,0.09,0.19,0.0,0.11,0.06,0.18,0.3725596819665985,0.24546196821765182,0.03,0.0,0.15,0.17,0.19,0.18,0.01,0.1,0.01,0.17
AJG,0.19868419782116822,0.3961221371607039,0.5015730735103135,KR,0.051105461572064234,0.0,-3.66%,1.49%,7.61%,17.63%,27.92%,32.12%,-6.57%,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,AJG,REGN,KR,DXCM,CLX,NLOK,NEM,LLY,LUMN,AKAM,0.28708518987267195,0.2240089194297708,0.16,0.04,0.34,0.03,0.11,0.16,0.05,0.01,0.03,0.07,0.3694726725644443,0.23688928474408472,0.01,0.02,0.18,0.11,0.12,0.18,0.09,0.18,0.12,0.0
